series,country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Access to electricity (% of population),Albania,ALB,,,,,,,,,,,,,99.9,100,100,100,100,100,100
Access to electricity (% of population),Algeria,DZA,,,,,,,,,,98.74726868,98.87762451,99.04978943,98.76466047,99.53858185,99.84082031,99.93136597,99.99005127,100,100
Access to electricity (% of population),Argentina,ARG,,95.51106347,96.10791016,96.38489532,96.63864899,96.86739349,97.08002472,97.28813171,97.5032959,97.73710632,98.82,99.27869415,99.49785614,99.47655487,100,99.82711792,99.9591217,100,100
Access to electricity (% of population),Armenia,ARM,98.9,100,98,99.2390213,99.29135895,99.8,99.32989502,99.33657837,99.35032654,99.38271332,99.8,99.83049011,99.89702606,99.89428711,99.95728302,100,100,100,100
Access to electricity (% of population),Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Azerbaijan,AZE,98.90822245,98.63769531,100,99.0275116,99.18981171,99.32710266,99.5,99.56493378,99.68865204,99.83100891,99.93829346,99.9,100,100,100,100,100,100,100
Access to electricity (% of population),Barbados,BRB,100,100,100,100,99.99862671,99.98682404,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Brazil,BRA,94.41277313,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,98.97673798,99.328691,99.519494,99.575151,99.650247,99.710902,99.7,100,100
Access to electricity (% of population),Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Cameroon,CMR,41,46.2,44.11487579,45.21878433,47.1,47.35513687,49,48.2,50.47182465,51.53256226,53.25836563,53.7,54.94634247,56.16632462,56.8,58.71873474,60.0260849,61.34233475,62.66007233
Access to electricity (% of population),Canada,CAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Chile,CHL,97.938687,97.17362976,97.39578247,98.782325,97.77936554,97.93452454,99.368108,98.20809937,98.34968567,99.593662,99.38300323,99.588193,100,99.6,100,99.714844,100,100,100
Access to electricity (% of population),China,CHN,96.90710449,97.21813965,97.51490021,97.79290009,98.04767609,98.2774353,98.49108124,98.70021057,98.91639709,99.15122223,99.7,99.87438202,99.9748764,100,100,100,100,100,100
Access to electricity (% of population),Colombia,COL,95.2,94.22931671,94.53076172,94.81345367,95.07292175,96.8,95.52570343,95.73952484,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938,98.186898,98.4,98.5,99.93644714
Access to electricity (% of population),Croatia,HRV,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Czech Republic,CZE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Cyprus,CYP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Denmark,DNK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Ecuador,ECU,93.52298737,93.90853882,94.27980804,94.973044,94.96161652,95.83265,96.315259,96.812618,97.206576,96.470862,97.462142,96.872699,97.194929,98.034674,98.976067,98.825883,98.7,99.2,100
Access to electricity (% of population),"Egypt, Arab Rep.",EGY,97.7,97.38194275,97.60253906,98.8,97.98298645,99.4,99.04,98.40703583,99.8,98.70572662,99.15289307,99.45224762,99.7,99.73120117,99.8,99.3,100,100,100
Access to electricity (% of population),France,FRA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Germany,DEU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Greece,GRC,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Hungary,HUN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),India,IND,59.12545776,55.8,62.3,64.17984009,64.4,67.44343567,67.9,70.6452713,72.25099182,75,76.3,67.6,79.9,80.79154205,83.53472137,88,89.67192078,92.6,95.2358551
Access to electricity (% of population),Ireland,IRL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Iceland,ISL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Israel,ISR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Italy,ITA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Japan,JPN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),"Korea, Rep.",KOR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Moldova,MDA,,,99,100,99.1,98.6,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Morocco,MAR,69.66585541,71.6749649,73.66979218,75.64586639,78.2,79.52654266,96.5,83.34545898,85.25971222,87.19261169,91.5135498,92.71631622,93.75356293,97.2,91.6,99.61175537,99.74356842,100,100
Access to electricity (% of population),Monaco,MCO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Netherlands,NLD,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Nepal,NPL,27.70176888,24.6,35.28186798,39.04602051,37.2,46.50286102,51.2,53.89793777,57.60027695,61.32125854,68.6,67.26,74.94395447,78.24636078,84.9,85.24436188,90.7,92.41319275,93.92
Access to electricity (% of population),Nigeria,NGA,42.85608673,43.74224091,44.61411285,52.2,46.29711914,47.10199356,47.89076233,50.13091943,50.3,50.27624893,48,55.9,53.27933121,55.6,54.91889572,52.5,59.3,54.4,56.5
Access to electricity (% of population),Norway,NOR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Pakistan,PAK,70.36933136,70.43138123,70.47915649,70.50772095,70.51215363,70.49060822,70.4535675,70.41460419,70.38728333,70.38516998,70.42184448,70.50715637,70.63609314,70.79993439,70.98994446,71.19741058,71.41359711,70.79,71.0915467
Access to electricity (% of population),Panama,PAN,81.40141009,81.91949463,82.87307739,87.8,84.71952057,85.60610962,86.47659302,87.34255219,88.21556854,89.10723114,86.85,90.99282074,92.00650787,89.1,94.15846252,95.27893829,96.77424622,100,100
Access to electricity (% of population),Peru,PER,72.496495,72.113111,74.382688,74.380966,75.692357,77.173645,80.157275,81.988131,84.678343,86.42432,88.123061,89.707491,91.099508,92.135365,92.919989,93.852179,94.2,94.8,95.2
Access to electricity (% of population),Paraguay,PRY,89.15279388,91.04207,91.666443,92.558399,93.249876,94.686886,96.749045,96.452771,96.677896,96.891335,97.43086,98.23656,97.835616,99.015884,99.000716,99.331532,98.4,99.3,100
Access to electricity (% of population),Poland,POL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Portugal,PRT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Philippines,PHL,74.77100372,75.86803436,76.95077515,76.6,87.6,80.0712738,81.07090759,82.06602478,83.3,84.08901215,85.22190094,87.2,87.40706635,87.5,89.786026,89.08,92.30308533,93,94.85723114
Access to electricity (% of population),Qatar,QAT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Russian Federation,RUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.5,100,100,100
Access to electricity (% of population),Saudi Arabia,SAU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9,99.93,100
Access to electricity (% of population),Singapore,SGP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Slovenia,SVN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),South Africa,ZAF,71.75089264,70.2,77.1,78.8,80.9,80.9,80.7,82,81.9,82.7,82.9,84.7,85.3,85.4,86,85.5,84.2,84.4,91.22987366
Access to electricity (% of population),Spain,ESP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Switzerland,CHE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Sweden,SWE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Turkey,TUR,,,,,,,,,,,100,99.95624542,99.99124908,100,100,100,100,100,100
Access to electricity (% of population),United States,USA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),United Kingdom,GBR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),United Arab Emirates,ARE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),Uruguay,URY,98.47380066,98.5716095,98.65512848,98.71989441,98.76143646,98.77796173,98.505426,98.692636,98.784355,98.7988205,99.13176727,99.17,100,99.611808,99.657085,99.70948,99.7,100,100
Access to electricity (% of population),Vietnam,VNM,87.18787384,88.09648132,89.1,89.86636353,90.71869659,96.1,96,93.16392517,93.97767639,96.1,98.45297241,99,99.03380585,99.00099182,99.2,99.7993927,99.2,100,100
"Computer, communications and other services (% of commercial service exports)",Albania,ALB,7.358619123,8.951707892,5.903346808,14.71596039,22.23461437,20.24488789,25.75758863,23.83472597,25.06949621,18.28666948,26.37618007,28.98938568,26.42058237,22.44307621,22.26983556,23.84840796,27.03558961,30.50549517,29.85075758
"Computer, communications and other services (% of commercial service exports)",Algeria,DZA,,,,,,36.65855637,53.74203822,51.33615202,53.18844425,53.70044589,62.94471506,65.72133997,64.08819176,63.93333042,59.09829897,58.37029567,60.04919972,59.82541231,
"Computer, communications and other services (% of commercial service exports)",Argentina,ARG,13.42794782,18.8560837,30.64714303,31.15066367,32.8047096,36.34959048,36.83105564,37.40280854,41.73269361,45.8401902,43.33188134,46.08468001,47.00789316,47.04612688,43.11346183,43.57142236,46.25223209,51.03757346,49.04314917
"Computer, communications and other services (% of commercial service exports)",Armenia,ARM,20.04348501,23.90053469,27.34674215,37.60751667,24.34716411,21.99661628,16.64864209,16.22704739,18.77156441,16.24155821,18.06602349,27.98551462,26.36383544,27.6561438,26.16238312,24.30363713,24.76476786,25.68094033,24.97199199
"Computer, communications and other services (% of commercial service exports)",Australia,AUS,24.45955786,19.78341666,21.43387754,21.35251156,20.486265,20.14240869,21.47251932,22.136988,23.20319465,22.01971176,22.10390324,22.11327974,23.30095318,23.74186756,22.59511875,20.87956491,20.48568939,20.29467195,20.1491428
"Computer, communications and other services (% of commercial service exports)",Austria,AUT,,,,,,39.60548863,31.79361675,31.66110466,31.93461029,33.29183241,31.3384733,33.25222869,35.17364538,37.11854633,39.02705177,39.2709408,39.81237708,40.73443044,41.44557935
"Computer, communications and other services (% of commercial service exports)",Azerbaijan,AZE,22.20103735,20.17079653,17.34521446,32.66024779,44.06128421,52.45498726,34.26955211,40.29259405,37.16055839,48.21818074,45.19810763,29.5085051,31.91278961,22.06523105,16.35827449,13.00145352,11.80662131,13.90342332,16.69472495
"Computer, communications and other services (% of commercial service exports)",Barbados,BRB,21.05251011,21.75879686,26.04536635,18.81904356,17.85617973,23.03210795,17.61799496,11.92070716,15.90068375,16.93902797,15.34203436,17.22159919,19.7886405,26.37127654,29.12976146,26.69216691,19.17476753,,
"Computer, communications and other services (% of commercial service exports)",Belgium,BEL,,,49.45889388,50.57225959,47.92735066,47.97174197,46.39269333,44.48811223,46.98082661,52.69133943,51.92473395,53.05375992,54.76104472,57.4803436,59.14663046,62.82390111,63.53480892,62.24556211,62.01910861
"Computer, communications and other services (% of commercial service exports)",Brazil,BRA,50.09775869,52.58886334,47.21699858,44.86894812,42.20347479,44.50748302,47.97679701,52.58720265,53.93842192,56.89840173,57.7386903,57.64919532,60.02565633,58.32669964,62.78453438,62.05263361,61.29799917,61.49789518,62.16329828
"Computer, communications and other services (% of commercial service exports)",Bulgaria,BGR,18.43721915,19.95324795,18.92222806,16.47679102,17.1699039,15.905627,18.24105595,20.21865205,21.71328083,21.84962159,27.20341154,25.73624763,30.62182969,26.75908493,28.183545,31.64198735,29.46857469,27.70100549,30.43396746
"Computer, communications and other services (% of commercial service exports)",Cameroon,CMR,68.7752833,66.37549926,79.79931876,23.25042941,48.61420406,24.03971912,22.3099578,28.34885143,43.3998157,28.06460832,44.6065683,44.31824307,37.49598147,33.04132584,32.48400808,30.94972722,30.93244957,29.29925701,28.08912425
"Computer, communications and other services (% of commercial service exports)",Canada,CAN,47.20719498,47.84668361,49.06503557,53.20722052,51.05821649,51.80699411,51.92730064,51.59711368,53.63203874,55.90737203,52.76286451,52.35771692,51.8897361,51.72541027,50.73095856,49.87982213,48.58120788,48.24263031,47.5873913
"Computer, communications and other services (% of commercial service exports)",Chile,CHL,21.88693885,21.46523224,24.35426189,22.70153533,21.10472409,20.27310755,20.44638216,21.484469,19.45972413,19.52948699,20.99691265,21.62585114,25.15461929,26.47243604,28.55841989,32.90263548,32.23491469,29.6052261,33.0908278
"Computer, communications and other services (% of commercial service exports)",China,CHN,74.3856681,74.62754806,74.10178179,54.98373871,51.40802161,41.75349401,40.46069583,44.19998192,44.04229542,46.38494958,28.73193344,56.11407383,53.05974616,53.10926006,58.09390448,57.9939399,58.73554818,60.56902129,60.76462886
